amount,transaction_hour,is_new_receiver,is_new_device,location_change,failed_transactions,transaction_frequency,account_age_days,is_fraud
2371.19,2,0,0,0,0,11,454,0
2962.78,9,0,0,0,0,8,395,0
1909.36,20,0,0,0,1,6,255,0
10597.35,17,0,0,0,2,9,794,0
2657.36,22,0,0,0,0,6,169,0
1988.82,2,1,0,0,0,8,904,0
4704.44,3,0,1,0,0,6,864,0
921.39,11,0,0,0,0,10,471,0
9732.9,13,0,0,0,1,11,631,0
474.86,19,0,0,0,3,4,369,0
26014.88,20,0,0,0,0,5,133,0
8886.9,22,0,0,1,0,6,990,0
1339.24,0,0,0,0,2,1,196,0
43.22,20,1,0,0,0,5,165,0
10149.38,4,1,0,1,0,8,252,1
7372.58,17,1,1,0,2,9,47,1
7843.98,17,0,0,0,2,11,390,0
8861.29,3,0,0,0,0,12,22,1
471.58,20,1,0,0,0,4,602,1
2673.36,12,0,0,0,0,4,541,0
748.9,20,1,0,0,0,9,925,0
11941.18,16,0,0,0,0,9,965,0
5867.81,7,0,0,0,0,14,749,0
2420.91,23,1,0,1,1,22,147,1
404.01,18,1,0,0,1,17,771,1
2244.93,22,1,0,0,2,6,552,0
2369.89,20,1,0,0,0,8,206,0
7857.25,1,0,1,0,0,2,47,0
6099.34,2,0,0,0,2,2,896,0
13103.51,20,1,0,0,1,12,360,0
3844.4,17,0,1,0,1,7,893,0
774.23,4,0,0,1,4,19,700,1
7504.76,13,0,0,0,2,10,424,0
8592.36,6,0,0,0,0,7,749,0
4953.32,16,0,0,0,0,10,763,0
8853.34,21,0,1,0,0,6,855,0
4094.89,18,1,0,1,0,5,411,0
4448.07,22,0,1,0,0,12,485,0
3356.89,10,0,0,0,1,7,704,0
164.49,19,0,1,0,0,14,525,0
695.0,1,0,0,0,1,15,492,1
201.6,16,0,1,1,0,3,598,0
6080.38,7,0,1,1,0,17,254,1
2274.38,19,0,0,0,2,13,502,0
4272.62,23,0,0,0,0,18,779,1
14297.59,18,0,0,0,0,10,207,0
1730.43,3,0,1,0,0,7,861,0
3179.69,8,0,0,0,2,3,335,0
8462.49,22,0,0,0,2,12,281,0
1568.83,0,0,1,0,3,13,85,1
490.63,16,0,0,0,2,21,427,0
2062.84,14,1,0,0,1,4,55,0
1064.85,10,0,0,0,0,11,585,0
15939.7,18,1,0,0,0,7,473,0
9915.32,7,0,0,0,0,12,241,0
6030.97,14,1,0,0,0,3,28,0
12319.12,19,0,0,1,1,2,855,0
9777.81,0,1,0,0,0,9,413,0
1248.97,9,0,0,0,0,4,606,0
13394.88,16,0,0,0,0,9,345,0
4660.6,18,0,0,0,0,4,468,0
9894.09,23,0,0,0,1,10,419,0
13595.46,9,1,0,0,0,4,385,0
2306.38,19,0,0,0,1,4,174,0
709.55,6,1,0,1,0,5,359,0
1562.12,10,0,0,0,4,3,24,0
3352.35,15,0,0,0,0,3,733,0
10232.98,8,0,1,0,0,3,857,0
11838.07,4,0,0,0,1,3,403,0
51.86,6,0,0,0,0,9,19,0
4299.26,7,1,0,0,0,5,673,0
3251.64,8,1,1,0,0,12,53,1
1517.0,10,1,0,1,0,7,104,0
776.08,11,0,1,0,2,8,343,0
2481.45,9,0,0,0,0,14,695,0
17188.73,19,0,0,0,0,5,52,0
2352.3,20,0,0,0,0,5,369,0
4398.72,20,1,0,0,0,11,743,0
7294.52,10,0,0,0,0,6,611,0
2721.85,6,0,0,0,2,3,220,0
21416.79,21,0,0,1,0,8,624,0
19702.06,10,0,0,0,5,5,357,0
1750.37,17,1,0,1,0,2,425,0
4135.96,14,0,0,1,1,14,579,0
2157.58,22,0,0,0,3,5,428,0
2021.5,10,1,1,0,0,10,754,1
235.51,11,0,0,0,1,2,268,0
5652.95,19,0,0,1,0,27,635,0
4201.12,4,0,0,1,0,8,251,0
327.11,21,0,0,0,0,7,456,0
1969.76,16,0,0,0,1,5,802,0
14343.17,8,1,0,0,0,6,966,0
1653.16,13,0,0,1,0,12,431,0
949.19,12,0,0,1,5,6,194,0
4043.63,9,1,0,0,0,14,21,1
25474.22,20,1,0,0,0,6,75,0
1672.87,14,0,0,0,5,4,33,0
6700.93,18,0,0,0,0,6,525,0
8613.33,8,0,0,1,0,4,811,0
1638.0,0,0,0,0,1,10,207,0
7826.49,13,0,1,0,0,15,780,0
2761.14,20,0,0,0,0,3,535,0
6013.02,22,0,0,0,0,7,850,0
6033.03,2,0,0,0,1,7,748,0
4614.31,21,0,0,0,0,6,510,0
577.77,21,0,1,0,0,14,985,0
10831.87,9,0,1,0,0,8,127,0
2330.86,22,0,0,0,0,4,733,0
1248.59,10,0,0,0,1,9,60,0
259.78,18,0,0,0,0,9,113,0
5372.67,15,0,0,0,0,3,20,0
6801.11,12,0,1,0,0,8,822,0
110.36,19,0,0,0,0,2,467,0
4315.78,22,1,0,1,0,11,102,1
1550.94,9,1,0,0,0,8,228,0
6226.75,15,0,0,0,0,10,880,0
1159.63,8,1,1,0,0,13,974,1
7055.28,7,0,0,1,1,11,930,1
2943.75,20,0,0,0,0,7,810,0
16572.06,22,1,0,0,0,5,299,0
897.67,12,0,0,0,4,2,734,0
2512.79,7,0,1,0,0,4,565,0
732.67,23,0,1,1,0,14,778,1
15527.14,8,0,1,1,1,2,880,1
12600.0,18,0,0,0,0,3,748,0
1799.96,3,0,0,0,1,3,456,0
6482.58,9,0,0,0,4,11,194,1
10206.9,9,0,0,0,0,4,510,0
4870.79,13,0,0,0,1,8,470,0
4535.68,17,1,0,0,0,3,792,0
1671.26,18,1,0,0,0,10,70,0
596.36,14,0,0,1,0,10,901,0
13660.74,18,0,0,0,0,19,478,0
13850.65,12,1,0,0,0,7,926,0
6026.02,18,0,1,0,0,10,224,0
2494.28,12,0,0,1,1,15,643,1
2587.41,18,0,0,1,0,7,632,0
7776.79,13,1,1,0,0,6,588,0
13654.58,17,0,0,1,0,3,282,0
13096.8,20,0,0,0,0,8,204,0
9091.37,21,0,0,0,0,3,674,0
6173.86,11,0,0,0,1,6,618,0
537.35,19,0,0,0,0,16,713,0
1067.77,10,0,1,0,0,9,200,0
13739.38,19,0,0,0,0,17,278,0
5604.96,20,0,0,0,1,3,943,0
65.44,10,0,0,0,0,11,187,0
651.98,7,1,0,0,0,8,201,0
6544.97,22,1,0,0,1,9,102,0
40.45,21,0,0,0,0,10,856,0
1061.89,19,0,0,0,1,8,204,0
4784.19,12,0,0,0,1,12,588,0
7073.89,19,0,0,1,0,9,309,0
6342.65,18,0,0,1,2,9,46,0
1533.7,12,0,0,0,1,12,183,0
7482.5,21,0,0,0,0,5,146,0
1634.94,18,0,0,0,0,8,273,0
2371.81,15,1,0,0,0,4,936,0
8244.15,21,0,1,0,0,5,677,0
6302.64,16,0,1,0,0,10,543,0
11361.74,8,0,0,1,0,11,777,0
6440.88,16,1,0,0,0,4,615,0
5050.27,16,1,0,0,1,8,511,0
600.14,22,0,0,1,1,8,224,0
2760.5,21,0,0,0,0,3,884,0
1858.96,20,0,0,1,0,10,997,0
1688.2,18,0,0,0,0,11,19,0
21683.86,5,0,0,0,0,20,309,1
3006.32,11,0,0,0,1,6,170,0
13366.33,10,0,0,0,0,10,484,0
5994.01,19,0,0,0,0,6,771,0
9512.95,21,0,0,0,0,7,728,0
4200.61,23,0,0,0,0,2,548,0
5170.94,6,0,1,1,0,10,346,1
4079.76,0,1,0,1,0,18,212,1
1313.29,22,0,1,0,0,5,334,0
7700.57,14,1,0,0,0,15,955,0
1987.46,22,0,0,0,0,8,864,0
157.7,13,1,0,0,0,8,904,0
6231.81,9,1,0,0,2,18,437,1
1179.6,18,0,0,1,0,8,37,0
16936.5,5,1,0,1,0,2,229,1
18475.37,9,0,0,0,1,4,75,0
14791.06,18,0,0,0,2,4,582,0
2783.72,14,0,0,0,0,11,677,0
103.46,5,0,1,0,0,8,416,0
15823.14,15,0,0,0,0,8,417,0
3363.63,19,1,0,0,0,4,430,0
20415.05,19,0,0,0,0,4,337,0
19892.41,12,0,0,0,4,9,829,0
11514.32,10,0,0,0,1,8,950,0
2102.66,9,0,0,0,4,12,482,0
2927.75,1,0,0,0,0,10,739,0
11438.36,4,1,0,0,2,6,422,0
2296.88,16,0,0,1,0,8,946,0
1124.31,14,0,1,1,0,8,918,0
4892.42,21,1,0,0,1,10,191,1
16517.76,19,0,0,0,0,5,236,0
7154.95,4,0,0,0,0,5,998,0
5074.67,18,0,0,0,1,6,706,0
623.37,17,0,0,0,0,5,954,0
5737.18,15,1,0,1,0,9,480,0
27673.42,9,0,0,1,0,2,626,0
915.52,22,0,1,0,1,5,23,0
4392.97,15,0,0,0,0,8,653,0
12601.65,0,0,1,0,0,6,767,0
8110.21,3,1,0,0,0,9,284,0
7174.45,8,1,0,0,1,12,144,0
7283.73,16,1,0,0,0,8,956,0
2682.95,18,0,0,1,0,8,525,0
2095.37,6,0,0,0,0,19,889,0
9954.25,19,0,0,0,0,7,383,0
9977.97,19,0,0,0,0,8,497,0
12117.7,6,0,0,1,0,6,152,0
14677.7,4,0,0,1,0,7,836,0
4306.56,1,1,0,0,1,12,486,1
4187.11,10,0,0,1,2,11,96,0
9615.7,8,0,0,0,0,7,686,0
6308.31,21,0,1,0,0,2,307,0
7273.3,15,0,0,0,0,5,813,0
9541.72,16,0,0,0,0,12,538,0
13253.94,4,0,0,0,0,16,427,0
2484.89,3,0,1,1,0,6,79,1
2835.62,14,0,0,0,0,13,80,0
602.18,21,1,0,0,0,3,1,0
5190.48,18,0,0,0,0,5,28,0
229.62,13,0,0,0,0,9,849,0
3769.64,6,0,0,0,0,7,528,0
4703.77,9,0,1,0,0,20,223,0
2035.78,8,1,0,0,1,7,956,0
5371.8,1,0,1,0,0,4,869,0
195.85,7,0,0,0,0,14,400,0
238.38,13,1,1,0,1,11,622,1
10386.11,6,0,1,0,1,4,708,0
2689.51,15,0,0,0,1,5,43,0
825.33,21,0,0,0,0,10,24,0
4441.92,12,0,0,0,1,5,795,0
8827.89,20,1,0,0,1,10,675,1
1468.71,14,0,0,0,1,7,627,0
5861.32,1,0,0,1,0,15,802,1
545.27,12,0,0,0,0,6,57,0
328.39,10,0,0,0,1,8,597,0
4557.45,18,0,1,0,3,3,173,0
4677.46,14,0,0,1,1,4,269,0
6097.22,6,0,0,0,2,17,713,0
7779.76,7,0,0,0,0,3,711,0
22351.34,22,1,0,0,0,8,888,0
4367.75,20,0,0,0,1,5,300,0
2350.12,16,0,0,0,1,17,541,0
9523.92,4,0,0,1,1,2,151,1
1905.11,21,1,0,0,3,16,501,1
3477.9,10,1,0,0,0,5,702,0
500.23,7,1,0,0,0,20,594,0
164.07,18,0,0,0,2,13,600,0
19734.28,7,1,0,1,0,3,944,1
10856.61,9,0,0,0,1,7,190,0
7153.86,23,0,0,0,2,9,901,0
3165.16,21,0,1,0,0,5,792,0
1151.84,5,1,0,0,2,16,853,1
1030.72,17,1,0,0,0,4,477,0
1738.04,15,1,0,0,1,4,765,0
4790.74,21,1,0,0,0,6,161,0
7533.1,12,0,0,1,1,24,778,0
6486.34,19,0,0,0,1,21,617,0
1980.47,23,0,0,1,0,4,127,0
18598.62,5,1,0,0,1,14,533,1
8044.1,13,0,0,0,3,8,914,0
4859.38,10,1,1,0,1,11,286,1
5686.18,20,0,0,1,4,12,612,1
3274.23,20,0,0,0,0,4,673,0
1717.97,23,0,0,0,0,5,692,0
2650.08,2,0,1,0,0,5,397,0
8519.09,7,1,0,0,4,7,517,0
96.99,17,0,0,1,0,14,64,0
750.28,4,0,0,0,0,14,946,0
292.57,9,0,0,1,0,3,646,0
259.49,19,0,0,1,0,5,980,0
11615.22,15,0,0,0,3,8,165,0
7307.44,13,0,0,0,0,3,332,0
3866.71,14,1,0,0,3,17,268,1
627.74,13,0,0,0,0,4,314,0
4069.11,23,0,0,0,2,12,954,0
3858.7,13,0,0,0,0,5,781,0
1151.17,8,0,0,0,0,20,773,0
3423.39,14,0,0,0,0,13,468,0
3060.02,21,0,0,1,0,9,94,0
5750.33,7,0,1,0,0,9,913,0
6058.69,22,0,0,0,0,3,981,0
288.17,21,0,0,0,0,3,580,0
2826.3,16,1,0,0,0,3,854,0
5908.75,10,1,0,0,0,16,391,0
4206.64,17,0,1,0,0,2,383,1
11658.1,23,0,0,0,1,9,676,0
6459.85,14,0,1,0,4,6,859,1
1077.12,22,0,0,0,0,2,846,0
449.09,16,1,0,0,0,2,975,0
6180.36,14,1,1,0,0,8,851,0
171.21,12,0,0,0,0,9,126,0
5298.08,20,0,0,0,1,8,113,0
16913.53,4,0,1,0,0,18,402,1
5150.69,2,0,0,0,0,3,737,0
2957.8,22,1,0,0,0,7,201,0
6194.96,20,0,0,0,1,11,592,0
3687.74,11,0,0,0,0,16,573,0
4742.89,15,0,0,0,3,9,980,0
17038.76,14,0,1,0,2,6,855,0
2937.57,9,0,0,0,0,6,550,0
19504.55,16,0,0,0,0,9,753,0
14155.46,14,0,1,0,0,5,64,0
1317.38,15,0,0,1,0,5,622,0
441.3,6,1,0,0,0,18,50,0
647.35,12,0,0,0,0,12,804,0
120.34,22,1,1,0,0,20,262,1
605.23,10,0,1,1,0,8,181,0
6903.25,17,0,0,0,2,10,499,0
453.1,11,1,1,1,3,8,505,1
2314.94,20,0,0,1,0,4,382,0
11191.16,21,1,0,0,0,5,460,0
151.28,19,0,1,0,0,7,367,0
10117.18,4,0,0,1,2,7,315,1
1996.5,11,0,0,0,3,19,823,1
764.5,17,1,0,0,0,8,406,0
7168.93,18,1,0,0,0,2,421,0
5958.4,19,0,0,0,0,9,592,0
12606.49,2,0,0,0,0,7,664,0
7979.76,7,0,1,0,1,7,664,0
9771.97,20,1,1,0,0,16,522,1
1998.0,22,0,0,1,3,14,478,1
1182.0,17,0,0,0,0,20,589,0
8342.54,2,0,0,1,1,11,650,1
9875.26,1,0,0,0,0,8,58,0
27952.03,7,0,0,0,0,9,474,0
3202.48,21,1,0,0,1,13,261,1
2801.46,22,0,0,0,3,3,689,0
8997.73,6,1,0,1,1,20,640,1
2510.4,19,0,0,0,1,8,147,0
16030.83,17,0,0,1,1,13,948,1
11739.03,2,0,0,0,0,5,593,0
3372.13,16,0,0,0,1,12,961,0
8348.71,15,1,0,0,1,17,372,1
8437.8,9,0,0,0,0,2,608,0
663.03,18,0,0,0,0,8,116,0
13980.67,11,0,0,0,1,6,423,0
4232.24,20,0,0,0,1,7,123,0
10518.0,17,1,0,0,0,9,870,0
2324.41,23,0,0,0,1,1,1,0
13562.74,13,0,0,0,1,2,715,0
2967.93,20,0,1,1,0,6,337,0
75.38,23,0,0,0,1,12,662,1
14157.44,18,0,0,0,0,4,974,0
584.35,20,0,1,0,0,11,108,0
2317.92,0,0,0,0,0,14,791,0
17991.83,11,0,0,0,2,6,722,0
18057.7,10,1,0,1,0,9,403,1
5121.98,13,0,0,1,1,7,539,0
6005.38,17,0,0,0,0,2,786,0
3580.09,8,1,0,0,2,14,694,0
2092.14,2,1,0,0,2,4,145,0
2400.92,21,1,1,1,2,4,439,1
6707.94,17,1,0,0,1,9,858,0
8385.03,23,0,0,0,2,6,670,0
9419.17,19,0,0,1,0,8,994,0
9362.99,10,0,0,0,0,5,976,0
583.82,17,0,0,0,0,7,565,0
4102.3,21,1,0,1,1,12,81,1
365.69,23,0,0,1,0,7,394,0
4794.77,12,0,0,0,0,5,94,0
3505.33,16,0,0,0,2,12,158,0
13129.71,10,0,0,0,1,6,538,0
2603.15,18,1,1,1,2,3,967,1
757.04,11,0,0,1,0,11,453,0
935.85,13,0,0,0,0,11,21,0
8610.58,20,1,0,0,0,4,312,0
5787.43,18,0,1,0,0,12,264,0
649.65,1,1,1,0,0,11,669,1
537.13,13,0,0,0,0,6,160,0
7253.25,9,0,0,0,0,9,448,0
463.28,9,1,0,0,0,7,984,0
10361.12,0,0,0,0,0,5,428,0
7360.0,7,0,0,1,0,8,963,0
519.09,8,0,0,0,1,3,824,0
541.92,10,1,0,0,1,1,757,0
25902.75,14,0,0,0,2,12,353,0
2823.03,9,1,0,0,0,13,580,0
2788.33,9,0,0,0,4,10,651,0
10063.45,0,0,0,0,3,9,604,0
17662.99,20,1,0,0,0,9,677,0
25622.64,9,0,0,0,0,6,648,0
8409.4,20,0,1,0,0,7,442,0
2842.13,18,1,0,0,1,2,642,0
533.16,15,1,0,0,0,6,6,0
9017.46,23,0,0,0,3,6,672,1
4914.16,21,0,0,0,0,22,356,0
3322.2,12,1,1,0,5,8,403,1
14219.43,15,1,0,0,2,22,363,1
717.28,23,1,0,0,3,10,869,1
4081.03,9,0,0,0,0,5,402,0
78.51,23,1,1,1,0,16,867,1
3804.13,18,0,0,0,1,19,601,0
357.7,6,0,0,0,1,5,936,0
768.95,16,0,0,0,0,7,60,0
760.16,15,0,0,0,1,7,998,0
6295.41,16,0,0,0,0,8,168,0
8233.59,12,0,0,0,0,11,977,0
5263.32,8,0,0,1,0,8,578,0
19658.32,15,0,0,0,3,8,662,0
2828.78,23,0,0,0,0,9,37,0
2028.81,7,0,1,0,1,9,878,0
12187.02,21,0,1,0,0,2,33,0
1528.49,15,0,0,0,1,4,276,0
19827.22,12,0,0,0,3,8,424,0
83.37,10,0,1,1,0,7,140,0
21025.16,8,1,0,1,0,4,49,1
274.71,20,1,0,0,0,2,674,0
13316.33,10,1,1,0,3,7,867,1
4510.86,19,0,0,0,0,12,359,0
29750.97,4,0,0,0,0,12,949,1
469.97,17,0,0,0,0,8,60,0
4852.66,16,1,0,0,0,2,66,0
20911.45,13,0,0,1,0,3,284,0
4452.66,15,0,1,0,3,8,467,1
5965.77,7,0,0,0,0,9,696,0
7149.41,17,0,0,0,0,7,436,0
3646.77,14,1,0,0,2,1,11,0
5936.05,22,1,0,0,0,2,171,0
5276.96,14,1,0,0,1,9,764,0
13895.4,15,0,0,0,1,11,176,0
289.07,10,1,1,1,0,3,698,1
1989.06,17,0,0,1,0,5,697,0
18033.98,7,1,0,0,0,6,654,0
13268.05,13,0,0,0,0,12,998,0
3659.05,16,0,0,0,0,8,856,0
5817.6,19,0,0,1,4,2,182,1
1959.24,7,0,0,0,0,6,642,0
1260.42,9,1,1,0,2,5,42,1
3748.35,7,1,0,0,0,11,760,0
2625.72,18,0,0,0,3,10,647,0
5267.46,20,0,0,0,1,8,244,0
495.53,9,0,0,0,1,2,614,0
21999.76,18,1,0,0,0,13,649,1
25713.19,6,0,0,0,0,6,33,0
7197.18,21,0,0,0,0,7,859,0
4618.47,11,0,0,0,1,8,377,0
2232.28,10,0,0,0,2,10,762,0
10095.44,2,1,0,0,0,7,324,0
6935.98,16,0,0,0,2,7,448,0
1074.84,14,0,0,0,3,5,865,0
14519.81,23,1,0,0,0,8,191,0
10383.97,12,0,0,0,0,10,392,0
17960.43,18,0,0,0,1,2,827,0
7771.62,17,0,0,1,0,10,360,0
5712.42,12,0,1,0,1,3,137,0
3260.22,8,0,0,0,1,13,140,0
16204.11,18,1,0,1,0,4,58,1
12072.35,5,1,1,0,0,4,817,1
287.64,18,1,1,0,0,3,300,0
170.32,13,1,1,0,3,23,651,1
2844.09,17,0,0,1,0,2,656,0
9991.89,1,0,1,0,0,10,578,1
26195.65,6,0,0,0,2,7,111,0
988.06,6,1,0,0,0,5,166,0
5420.34,4,0,0,1,1,6,683,0
2886.84,8,0,1,0,0,1,357,0
21032.25,23,0,0,0,0,10,110,1
11085.48,4,0,0,0,0,11,368,0
10943.14,16,0,0,0,0,6,195,0
3804.49,6,1,0,0,4,5,355,0
3225.01,13,0,1,1,0,11,585,1
1926.33,6,1,0,0,0,5,187,0
358.16,23,0,0,0,0,5,740,0
12012.56,18,0,0,0,0,4,391,0
10066.7,21,1,0,0,0,3,501,0
49044.67,9,1,0,0,0,20,121,1
34179.24,12,0,0,1,3,14,410,1
4873.91,15,0,0,0,0,13,460,0
8801.7,21,0,0,0,0,26,464,0
17387.03,22,0,0,0,0,10,927,0
11378.63,23,0,0,0,0,8,664,0
1714.91,8,1,0,0,0,9,193,0
3602.96,6,0,1,0,0,11,440,0
839.78,8,0,0,0,0,3,63,0
18491.34,19,0,0,0,0,8,410,0
5601.09,19,1,0,0,0,16,314,0
1567.62,8,1,0,0,0,5,27,0
6692.98,5,0,1,0,0,6,325,0
5786.02,6,0,0,0,0,2,38,0
2670.52,18,1,0,1,3,8,47,1
733.23,23,0,0,0,1,8,497,0
6690.65,8,0,0,0,4,15,240,1
4417.66,20,1,0,1,0,3,891,0
8888.84,18,1,0,0,1,10,731,1
4415.86,12,0,0,0,0,24,533,0
11480.62,1,0,1,0,1,25,591,1
4826.52,9,0,0,0,0,8,507,0
4948.69,19,0,1,0,0,11,396,0
12566.55,9,0,0,0,0,15,125,0
3109.88,9,0,0,0,0,8,331,0
873.33,18,0,0,0,0,3,793,0
185.23,9,0,0,0,0,16,708,0
8452.34,13,0,0,0,0,8,365,0
5820.39,13,0,0,0,3,1,598,0
7315.99,13,0,0,1,2,3,122,0
1446.89,16,0,0,0,0,14,683,0
889.68,17,0,0,0,0,3,691,0
97.91,13,0,0,1,0,7,987,0
2600.12,11,1,1,0,0,2,89,0
5358.38,6,0,0,0,0,12,536,0
2997.89,15,1,0,1,0,4,9,1
3461.92,4,0,0,1,1,16,874,1
14080.37,18,0,0,0,0,9,790,0
2578.62,21,0,0,0,0,4,795,0
4339.15,9,0,0,0,0,5,317,0
9195.23,19,1,0,1,0,3,856,0
3040.48,8,1,0,1,1,10,833,0
5848.54,8,1,0,0,0,5,321,0
11908.84,12,0,0,0,0,3,142,0
17927.14,23,0,0,1,1,8,752,1
964.49,1,0,0,0,0,9,490,0
15679.98,6,0,1,0,0,3,93,0
4075.02,12,0,0,0,0,13,20,0
1802.41,13,1,1,0,0,5,865,0
3697.52,9,1,0,1,0,8,173,0
23491.92,15,0,0,1,1,8,679,0
4080.95,7,0,0,0,0,8,340,0
2401.7,22,0,1,0,0,5,753,0
6030.92,14,0,0,0,3,8,849,0
1657.77,16,0,0,0,0,7,158,0
483.37,17,1,0,0,5,12,461,1
837.85,17,0,1,0,0,7,470,0
832.11,21,0,0,0,1,3,960,0
998.56,22,0,0,0,1,18,614,0
906.76,19,0,0,0,2,10,870,0
6154.5,9,1,0,1,0,6,73,0
1214.48,7,0,0,0,0,10,348,0
2554.84,9,1,0,0,0,5,23,0
13635.84,7,0,0,0,3,11,919,1
3864.29,15,0,0,0,0,18,288,0
6617.73,20,0,0,0,3,14,337,0
1144.77,3,0,0,0,0,6,808,0
1291.31,15,1,0,1,0,7,678,0
260.36,17,1,0,0,0,14,62,0
1120.28,22,1,0,0,0,5,555,0
1969.29,19,0,0,0,2,13,988,0
1178.87,15,1,0,0,0,3,597,0
567.32,20,1,0,0,3,12,566,1
781.34,16,0,0,1,0,14,493,0
3715.78,11,1,0,0,1,21,553,1
1396.55,21,0,0,0,1,11,564,0
2727.89,2,0,0,0,0,4,695,0
4210.03,15,0,0,1,0,14,862,0
7044.74,20,1,0,0,0,10,429,0
250.63,22,0,0,0,0,6,979,0
9648.97,21,0,0,0,2,14,430,0
5941.56,17,0,0,0,3,6,946,0
521.77,8,0,1,0,1,10,435,1
12418.81,20,0,1,0,1,5,215,0
15230.16,5,0,0,0,0,11,326,1
388.14,8,0,0,0,0,7,915,0
1955.06,19,1,0,0,1,10,68,0
9855.61,17,1,1,0,0,7,561,0
8286.14,18,1,0,0,1,7,23,0
1233.88,22,0,0,0,1,16,901,0
1419.39,21,0,0,0,0,9,448,0
2786.71,13,0,0,0,0,4,289,0
3985.98,21,0,0,0,1,10,588,0
5788.01,13,1,0,0,0,2,228,0
2771.88,21,0,1,0,1,11,765,1
3735.35,20,1,0,0,0,8,571,0
8267.37,21,0,0,0,0,13,564,0
234.24,20,1,0,0,0,3,605,0
1755.62,18,0,0,0,1,6,206,0
7506.95,16,0,0,0,0,9,519,0
13544.6,19,0,0,0,0,10,555,0
4310.67,17,0,1,0,0,15,560,0
4567.18,23,0,0,0,0,4,630,0
690.17,22,0,0,0,0,4,938,0
3568.86,18,0,1,1,0,10,762,1
4573.64,8,1,1,0,0,10,958,1
1676.16,15,0,0,0,0,15,788,0
1892.05,9,0,0,0,0,4,239,0
2851.99,5,0,0,1,0,18,549,1
131.65,12,0,0,0,0,6,462,0
2342.35,20,0,1,0,0,6,994,0
1435.34,9,0,0,0,0,10,297,0
2390.5,14,0,0,1,5,13,681,1
775.38,19,0,0,1,0,5,855,0
13282.48,9,0,0,0,0,15,487,0
5412.39,7,0,0,0,0,7,744,0
6829.8,19,0,1,0,2,18,901,1
9350.25,18,0,0,0,3,2,673,0
4150.22,22,0,1,0,0,21,432,0
555.59,20,0,0,1,1,9,940,0
4631.55,13,0,0,0,0,11,458,0
5313.54,3,0,0,0,0,10,778,0
8219.3,9,0,0,0,0,13,445,0
3400.21,20,1,0,0,0,5,267,0
828.91,21,0,0,0,0,5,314,0
2012.57,8,0,0,0,0,4,211,0
2716.69,16,0,0,0,0,8,691,0
6239.35,12,0,0,0,1,6,765,0
5084.69,19,0,0,0,0,10,739,0
2651.24,17,1,0,0,0,8,143,0
25847.17,22,1,0,1,0,6,987,1
5595.0,17,0,0,0,0,6,517,0
1634.77,7,0,0,0,0,3,496,0
654.06,14,1,0,0,0,5,365,0
1005.33,12,1,0,0,0,15,573,0
1703.84,21,0,0,0,0,2,653,0
